main stat, 4000, 4200, 4400, 4600, 4800, 5000, 5200, 5400, 5600, 5800, 6000, 6200, 6400, 6600, 6800, 7000, 7200, 7400, 7600, 7800, 8000, 8200, 8400, 8600, 8800, 9000, 9200, 9400, 9600, 9800, 10000, 
铁骨欠债, 5.14, 5.33, 5.53, 5.72, 5.92, 6.11, 6.31, 6.50, 6.69, 6.89, 7.08, 7.28, 7.47, 7.67, 7.86, 8.06, 8.25, 8.44, 8.64, 8.83, 9.03, 9.22, 9.42, 9.61, 9.81, 10.00, 10.19, 10.39, 10.58, 10.78, 10.97, 
炖鸡, 2.67, 2.71, 2.76, 2.81, 2.86, 2.90, 2.95, 3.00, 3.05, 3.10, 3.14, 3.19, 3.24, 3.29, 3.33, 3.38, 3.43, 3.48, 3.52, 3.57, 3.62, 3.67, 3.71, 3.76, 3.81, 3.86, 3.90, 3.95, 4.00, 4.05, 4.10, 
1铁2活, 2.66, 2.69, 2.73, 2.76, 2.79, 2.82, 2.85, 2.88, 2.90, 2.93, 2.95, 2.97, 3.00, 3.02, 3.04, 3.06, 3.08, 3.10, 3.11, 3.13, 3.15, 3.17, 3.18, 3.20, 3.21, 3.23, 3.24, 3.25, 3.27, 3.28, 3.29, 
活tm的(平均收益), 1.63, 1.65, 1.66, 1.67, 1.68, 1.70, 1.71, 1.72, 1.73, 1.74, 1.75, 1.76, 1.77, 1.78, 1.79, 1.80, 1.81, 1.81, 1.82, 1.83, 1.84, 1.85, 1.85, 1.86, 1.87, 1.87, 1.88, 1.89, 1.90, 1.90, 1.91, 
活tm的(平均收益&急速爆炸), 1.72, 1.73, 1.75, 1.77, 1.78, 1.80, 1.81, 1.83, 1.84, 1.85, 1.87, 1.88, 1.89, 1.90, 1.92, 1.93, 1.94, 1.95, 1.96, 1.97, 1.98, 1.99, 2.00, 2.01, 2.02, 2.03, 2.04, 2.05, 2.06, 2.07, 2.08, 
骨盾, 1.97, 1.98, 1.99, 2.01, 2.02, 2.03, 2.04, 2.06, 2.07, 2.08, 2.10, 2.11, 2.12, 2.13, 2.15, 2.16, 2.17, 2.18, 2.20, 2.21, 2.22, 2.23, 2.25, 2.26, 2.27, 2.29, 2.30, 2.31, 2.32, 2.34, 2.35, 
